Dzień Tygodnia,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowc
1,19.0506,19.3665,16.3949,11.2862,15.7109,15.1036
2,20.1987,20.7927,19.4526,12.2541,16.7637,16.8995
3,19.2255,20.2004,18.5546,11.0634,16.4853,15.1948
4,17.5124,18.6416,16.9702,10.3420,15.6405,14.2115
5,17.9943,19.2861,15.6824,10.5639,14.5709,15.1671
6,14.5410,14.9905,12.2841,9.1721,10.9490,12.7710
7,12.7037,12.7842,11.6623,8.3749,9.5756,11.2242
